fazla_kilo,tarih,cim,pist,grup,kgs,en_iyi_derece_farkli_hipodrom,hipodrom_key,hava_durumu,son800,en_iyi_derece,fark,gec_cikis_boy,agf1_sira,kum,kosu_kodu,cins_detay,handikap,sonuc,son6,agf1,gece,mesafe,at_adi,jokey_kodu,ganyan,agf2,yas,kilo,apranti_kilo_indirimi,cim_pist_agirlik,kum_pist_agirlik,no,at_key,jokey_adi,yaris_key,nem,sahip_adi,sahip_kodu,antrenor_adi,antrenor_kodu,yetistirici_adi,derece,sicaklik,yaris_kosu_key,saat,son20,kosmaz,at_sayisi,taki,agf2_sira,start
0,01/07/2024,,kum,4 ve Yukarı Araplar,12,true,ELAZIG,Açık,1.06.72,2.15.39,,,2,Normal,210714,Handikap 14,41,8,K1K5K7K9K3K9,16.94,true,1900,KOPKAPTAR,267,"5,60",16.16,9y a  a,61,0,0,0,5,0f847aae1764632db4cb52a6500ef2ca,FERİT YARDIMCI,c1248d7ceaff65eb4c2ac3db1798b63f,24,EMRAH CANPOLAT,17492,MEHMET ALİ SUBAY,2722,BÜLENT ÇONAY,2.41.28,31,07e89e9dae31577e3ae1a4a60659b2f9,19:00,15,false,10,KG SK,2,1
0,01/07/2024,,kum,3 Yaşlı İngilizler,14,true,ELAZIG,Açık,0.54.64,1.23.83,3 Boy,,<nil>,Normal,210710,Handikap 16,48,1,K2K4K2K1K5K2,<nil>,true,1200,ÖZAY SILAŞARA,2378,"2,50",31.54,3y a  d,55.5,0,0,0,5,baffcdddcaae638c675f71a7e502944a,İSA AKYAVUZ,c1248d7ceaff65eb4c2ac3db1798b63f,24,ALİ ÇİZİK,15875,MEHMET EMİN SARIDAL,2717,CEVDET AYIKÖZ,1.18.34,31,027613789dfd77b59b3b6d736129574a,20:30,18,false,6,KG SK,1,4
0,27/06/2024,Normal,cim,4 Yaşlı Araplar,7,false,ANKARA,Açık,0.54.44-0.55.60,1.54.03,,,<nil>,Normal,210649,Handikap 14,37,9,K0K5K4K7K0C8,<nil>,false,1600,IRMAK BEYİ,2710,"34,50",1.45,4y a  a,56,0,3.3,0,7,a8aec4507303331df1988506bc1d28a9,NİZAMETTİN DEMİR,64dbcef44fa1268d3bc6b333f5157319,42,HÜSEYİN BECENE,16617,SALİH BECENE,2965,ZÜBEYDE ÇEÇAN,1.49.70,27,b668edfade74cc02ae94c45ced011e49,18:00,8,false,13,KG DB SK,10,2
2,19/06/2024,,kum,3 Yaşlı İngilizler,7,false,ELAZIG,Açık,0.58.20-0.52.48,,7 Boy,,<nil>,Normal,210475,Handikap 15,37,2,K1K6K7K1K6K3,<nil>,true,2000,KING OF THE CITY,2692,"2,95",<nil>,3y a  e,54.5,1,0,0,4,3cdfb26d8e8585164b9dadbb34d0cb76,ABDULLAH ÇANKAYA,cadbf591155e7255f1814345c84bd9ea,13,MEHMET KAYA,12140,MEHMET KAYA,2830,FATİME KÜÇÜKÇAY,2.22.75,37,9890d3e61dcf7457a19d26d909ac5c97,17:45,18,false,7,DB SK,<nil>,6
0.7,19/06/2024,,kum,4 ve Yukarı Araplar,21,true,ELAZIG,Açık,1.07.08-1.05.68,2.06.69,,,5,Normal,210485,Handikap 15,41,9,K2K1K5K7K9K3,8.98,true,1700,KOPKAPTAR,2693,"6,75",<nil>,9y a  a,57.5,0,0,0,7,0f847aae1764632db4cb52a6500ef2ca,ALİ ŞENBAHAR,cadbf591155e7255f1814345c84bd9ea,13,EMRAH CANPOLAT,17492,MEHMET ALİ SUBAY,2722,BÜLENT ÇONAY,2.28.43,37,58164fc44193a8fbde7abb6a6f518a3e,20:30,16,false,10,KG SK,<nil>,7
0,17/06/2024,,kum,3 Yaşlı İngilizler,14,false,SANLIURFA,Açık,0.53.28-0.52.96,1.31.03,5 Boy,,3,Normal,210455,Handikap 15,46,2,K1K2K4K2K1K5,15.52,true,1400,ÖZAY SILAŞARA,2378,"3,75",15.79,3y a  d,57,0,0,0,5,baffcdddcaae638c675f71a7e502944a,İSA AKYAVUZ,40744f1774b5e8efe8bb86c24def2dbe,28,ALİ ÇİZİK,15875,MEHMET EMİN SARIDAL,2717,CEVDET AYIKÖZ,1.29.89,35,d087c2d1a3824eea9cf19867c419d96f,19:00,19,false,11,KG SK,2,8
0,15/06/2024,Biraz Ağır,cim,3 Yaşlı İngilizler,16,false,ANKARA,Açık,0.49.92-0.50.12,,,,3,Normal,210398,Maiden,29,6,K3K7K3K5K3C4,10.77,false,1600,DERKO,2714,"11,25",8.77,3y d  e,58,0,4.4,0,4,4befd135e6346428a367ba7c1fa076ab,VEDAT ABİŞ,1671aa87c8716562acdb5f5229ce1197,48,BAHAR BAŞ,12096,AYKUT ECEVİT BAŞ,94,SELAHADDİN DİNÇEL,1.42.57,23,f183f57108fbbdd691eea9742095dcf4,15:00,17,false,12,KG DB SK,4,8
0,10/06/2024,Normal,cim,3 Yaşlı Araplar,14,false,BURSA,Açık,0.52.60,,,,3,Normal,210307,Maiden,32,7,K3K2K4,16.82,false,1300,KOSAVALI YİĞİT,2385,"3,75",<nil>,3y a  e,57,0,3.3,0,2,f27407f05260b09c1dbd209e46b47abd,MERTCAN ÇELİK,7f95dc1bff9695e6d090e5c74dc1528f,48,YUNUS KARAKOÇ,19573,FETHİ AHMET YEŞİLBUDAK,1063,ERKUT ŞAHİN,1.28.88,31,b16336dd927d72c2ba64b32ac7787f89,14:30,17,false,12,KG K,<nil>,6
0,06/06/2024,Normal,kum,3 ve Yukarı İngilizler,21,false,ANKARA,Az Bulutlu,0.54.88-0.54.36,,,,<nil>,Normal,210234,KV-6,88,5,K3K1K2K7K1K3,<nil>,false,2200,MEMORY REMAINS,2714,"3,60",20.39,4y d  a,58,0,3.3,0,3,10c3e55641d4ea2f06ae19c1b6fa086c,VEDAT ABİŞ,80c06400a673ba5b5ebe850d92545b7b,29,YÜKSEL GÖKTÜRK,9256,İSMET TEKİNALP,47,YÜKSEL GÖKTÜRK,2.27.56,30,a83b2d2ee06146f7e130348aba0de4ab,17:30,19,false,6,DB,3,2
0,21/05/2024,,kum,3 Yaşlı İngilizler,21,false,KOCAELI,Açık,0.52.17-0.52.00,,,,1,Normal,209877,Handikap 16,46,5,K1K2,29.87,true,1500,ROTARACTOR,1461,"2,30",31.67,3y d  e,55.5,0,0,0,7,2a8078deb3d2dfd3989594ff1380d6ee,ALİCAN İNCİ,b7d0f6ae0425cc60aaf6335172c40501,44,OKTAY FERHAN BİTİRMİŞ,17779,BARIŞ TOPCU,2647,MUSTAFA REŞAT AKKAN,1.35.83,26,00cc627a451c742394d861a3e3ed7adc,20:00,19,false,9,SK DS,1,9
